;verb;semantic;emotion
0;спросить;speech;question
1;обратиться;speech;neutral
2;замечать;speech;neutral
3;объяснить;speech;neutral
4;начать;speech;neutral
5;подумать;thought;neutral
6;рассказывать;speech;neutral
7;воззвать;speech;loud
8;рассказать;speech;neutral
9;подуматься;thought;neutral
10;прервать;action;neutral
11;усмехнуться;action;smile
12;вымолвить;speech;neutral
13;вмешаться;speech;interrrupt
14;возмутиться;feeling;angry
15;голосить;speech;loud
16;воскликнуть;speech;loud
17;ужаснуться;feeling;fear
18;заторопиться;movement;neutral
19;закричать;speech;loud
20;перебить;speech;interrupt
21;причитывать;speech;sad
22;задуматься;thought;neutral
23;заметить;speech;neutral
24;удивиться;feeling;surprise
25;посоветовать;speech;neutral
26;присовокупить;speech;neutral
27;согласиться;action;yes
28;улыбнуться;action;smile
29;говорить;speech;neutral
30;вскочиться;movement;neutral
31;огрызаться;speech;angry
32;пояснить;speech;neutral
33;произнести;speech;neutral
34;прибавить;speech;neutral
35;продолжить;speech;neutral
36;нахмуриться;action;angry
37;доносить;action;neutral
38;обидеться;feeling;sad
39;соглашаться;speech;yes
40;протянуть;speech;neutral
41;твердить;speech;neutral
42;окликнуть;speech;loud
43;решить;thought;neutral
44;поправить;action;neutral
45;поддакнуть;action;yes
46;сказать;speech;neutral
47;зашуметь;action;loud
48;повторить;speech;neutral
49;продолжать;speech;neutral
50;огрызнуться;speech;angry
51;разнестись;speech;loud
52;раздаваться;speech;loud
53;крикнуть;speech;loud
54;распевать;song;loud
55;простонать;speech;sad
56;взмахнуть рука;action;neutral
57;отвечать;speech;neutral
58;начало;speech;neutral
59;промолвить;speech;neutral
60;огорчить;action;sad
61;спорить;speech;angry
62;кричать;speech;loud
63;заявить;speech;neutral
64;подбежать;movement;neutral
65;думать;thought;neutral
66;отозваться;speech;neutral
67;вскричать;speech;loud
68;доложить;speech;neutral
69;пробормотать;speech;quiet
70;откликнуться;speech;neutral
71;обрадовать;action;happy
72;подтвердить;action;yes
73;прошептать;speech;quiet
74;возразить;speech;no
75;примолвить;speech;neutral
76;поощрять;speech;yes
77;спрашивать;speech;question
78;вздохнуть;action;sad
79;упрекнуть;speech;no
80;рассмеяться;action;laugh
81;бормотать;speech;quiet
82;проворчать;speech;angry
83;вспомнить;action;neutral
84;перебивать;action;neutral
85;добавить;speech;neutral
86;забормотать;action;quiet
87;зазывать;speech;loud
88;просить;action;neutral
89;пуститься;action;neutral
90;подхватить;speech;yes
91;уверять;speech;neutral
92;солгать;action;neutral
93;объявить;speech;loud
94;бранить;action;angry
95;захохотать;action;laugh
96;предложить;speech;neutral
97;провозгласить;speech;loud
98;вставить;action;neutral
99;прохрипеть;speech;neutral
100;оживиться;feeling;happy
101;напомнить;action;neutral
102;ответить;speech;neutral
103;обращаться;action;neutral
104;гаркать;speech;rude
105;подсказать;speech;neutral
106;докладывать;speech;neutral
107;возглас;speech;loud
108;заговорить;speech;neutral
109;проговорить;speech;neutral
110;вскрикнуть;speech;loud
111;объявление;speech;loud
112;вздыхать;action;sad
113;послышаться;be-heard;neutral
114;вопрос;speech;question
